Customer ID,Recency,Frequency,Monetary
12346,95,11,372.86
12348,4,1,222.15999999999997
12349,136,2,1268.52
12355,133,1,488.21000000000004
12358,116,2,1697.93
12359,101,5,2012.03
12360,129,3,780.04
12361,28,3,321.35
12362,304,1,130.0
12366,199,1,500.24
12368,194,1,917.7
12369,15,2,1607.8
12370,190,3,774.62
12371,211,2,607.6800000000001
12373,190,2,763.0500000000001
12374,154,1,1388.54
12377,155,1,1210.96
12378,128,1,1407.7
12379,100,1,367.48
12380,31,7,6951.49
12388,11,2,1120.45
12389,133,2,563.03
12391,30,5,2312.53
12392,157,1,234.75000000000003
12395,60,2,1376.82
12396,240,1,931.4300000000001
12399,85,2,539.45
12402,16,4,875.65
12403,87,1,591.6600000000001
12404,248,1,63.24
12406,162,2,1629.2
12408,16,2,509.16
12409,91,3,7115.56
12410,68,1,320.38
12412,53,2,1176.79
12414,29,3,390.0
12415,63,3,2717.98
12416,222,1,202.56
12417,11,8,2281.55
12418,142,2,879.3100000000001
12421,71,1,77.8
12422,16,11,3356.7400000000002
12423,31,1,298.8
12424,114,1,446.53999999999996
12425,14,1,964.21
12426,228,1,762.48
12429,7,4,2454.01
12431,29,11,3646.52
12433,15,2,1126.09
12435,43,3,3575.2000000000003
12437,11,15,5937.47
12439,248,2,1158.18
12440,28,2,859.2
12443,298,1,485.31
12449,4,1,678.6
12450,17,2,254.02
12451,29,3,3634.36
12455,11,4,3413.09
12457,1,1,632.6800000000001
12458,53,1,380.61
12459,171,1,454.36
12460,22,1,326.65
12466,248,1,56.73
12468,92,3,2941.2
12469,88,2,3070.54
12470,255,1,211.95
12471,4,38,13890.09
12472,1,11,8383.59
12474,10,9,3251.2
12476,3,4,2754.1600000000003
12477,91,2,4485.86
12480,73,1,451.9
12481,16,3,5084.95
12482,142,29,23691.4
12483,2,8,1885.9
12484,49,6,1828.43
12485,95,1,708.1
12487,296,1,285.3
12490,25,9,3490.19
12494,142,1,344.87
12495,206,1,357.4
12496,186,2,54.09
12497,210,1,1211.76
12499,126,1,393.72
12500,1,8,1697.39
12503,150,1,1126.0
12504,162,1,134.4
12507,150,1,539.25
12510,25,7,4195.45
12514,207,1,580.08
12516,165,1,689.46
12519,42,1,385.70000000000005
12523,1,9,2254.4700000000003
12524,11,7,5032.99
12525,64,3,973.73
12527,60,2,386.8
12529,94,1,316.48
12530,18,4,1651.55
12531,252,1,1807.98
12533,193,2,1367.89
12539,16,3,5646.400000000001
12540,2,13,6420.83
12542,50,2,481.88
12543,14,1,980.25
12547,66,1,175.78
12549,141,6,1575.68
12554,14,1,468.5
12555,248,1,129.23
12557,112,2,3661.2000000000003
12562,1,1,426.0
12567,53,4,1976.9
12568,210,1,70.0
12570,248,1,77.52
12573,31,1,152.02
12575,23,2,622.82
12576,24,2,555.62
12577,302,1,210.55
12578,9,1,1011.86
12580,142,1,637.2
12582,143,1,837.11
12583,17,9,4597.89
12586,289,1,422.35
12588,163,1,328.9
12589,29,4,2989.0
12592,85,3,2145.06
12594,23,3,777.54
12595,70,1,299.02
12598,29,3,1511.01
12599,37,3,746.96
12600,15,8,1717.72
12605,24,1,256.99
12606,248,1,21.0
12609,64,4,1467.56
12613,45,4,3040.55
12615,70,2,2367.48
12619,126,1,140.14
12621,17,11,6685.46
12623,31,5,3080.59
12625,75,2,2481.06
12631,22,5,2841.07
12632,86,2,804.88
12633,56,2,2905.48
12634,101,2,490.0
12635,22,1,731.33
12636,304,1,141.0
12637,66,2,913.79
12638,205,1,249.8
12639,193,1,253.58
12643,11,4,2541.4
12644,236,2,868.13
12645,30,3,1293.72
12647,22,21,11285.75
12648,3,3,793.95
12649,149,3,781.8
12651,31,1,99.0
12653,92,1,1950.98
12656,65,2,1480.25
12661,2,1,162.0
12662,14,7,2287.07
12663,190,2,239.4
12664,80,2,1188.16
12665,235,1,168.8
12668,133,4,4502.35
12670,232,1,225.60000000000002
12671,172,1,2622.481
12672,161,1,211.15
12675,119,2,958.5
12676,49,3,564.03
12677,121,2,395.1
12678,29,7,11620.51
12681,9,18,11338.37
12682,16,18,8817.93
12683,22,6,3157.13
12687,46,2,2138.91
12692,203,1,110.95
12693,18,2,737.3100000000001
12695,94,3,825.02
12696,74,1,317.15
12698,156,1,339.75
12701,95,4,1648.7
12703,199,3,722.98
12705,1,2,2644.37
12708,22,7,2007.6000000000001
12709,16,16,18970.84
12711,177,2,1339.05
12712,56,6,1639.31
12714,22,6,7832.62
12717,156,1,277.93
12720,37,4,1327.59
12721,37,1,751.55
12724,71,2,973.56
12725,137,2,1228.95
12726,113,2,536.88
12727,8,3,1698.8300000000002
12730,87,1,829.25
12731,8,5,6879.8
12733,63,2,1638.32
12737,64,2,3710.5
12741,95,2,406.07
12742,191,1,1201.52
12744,25,4,4037.77
12745,52,3,925.41
12746,106,1,254.55
12747,35,12,3279.4700000000003
12748,1,82,13744.42
12749,87,1,832.9
12751,10,1,268.27
12755,70,6,1400.71
12758,25,5,7111.650000000001
12759,3,4,2802.51
12760,21,1,347.8
12761,23,2,782.95
12765,38,6,1404.58
12768,16,1,168.69
12770,22,1,1895.0
12771,51,1,282.3
12773,130,1,124.25
12774,101,1,98.7
12776,233,1,55.5
12777,23,1,519.45
12778,17,2,556.01
12779,25,5,1942.88
12780,164,1,337.4
12782,3,3,899.47
