StockCode,Description,Revenue,TotalQuantitySold,InventoryTurnover,ABC_Class,XYZ_Class,ABC_XYZ_Class,ReorderPriority,DeadStockRisk,Recommendation
85123A,WHITE HANGING HEART T-LIGHT HOLDER,151624.31,56915,185.9967320261438,A,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
22423,REGENCY CAKESTAND 3 TIER,143893.35,12497,58.12558139534884,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
85099B,JUMBO BAG RED WHITE SPOTTY ,85395.9,48802,166.55972696245735,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84879,ASSORTED COLOUR BIRD ORNAMENT,70493.83,44551,154.69097222222223,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21843,RETRO SPOT CAKE STAND,41718.34,4082,14.683453237410072,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
48138,DOOR MAT UNION FLAG,41275.99,6349,22.83812949640288,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,40186.65,21591,205.62857142857143,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36933.5,13860,99.71223021582733,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20685,RED SPOTTY COIR DOORMAT,36431.28,5644,20.15714285714286,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
47566,PARTY BUNTING,35035.9,8316,41.16831683168317,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
15056N,EDWARDIAN PARASOL NATURAL,34044.75,7201,31.583333333333332,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
85099F,JUMBO BAG STRAWBERRY,33957.45,19291,66.98263888888889,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21621,VINTAGE UNION JACK BUNTING,33852.96,4002,14.932835820895523,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20914,SET/5 RED SPOTTY LID GLASS BOWLS,33679.9,12354,43.045296167247386,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20725,LUNCH BAG RED SPOTTY,31933.25,20417,67.60596026490066,A,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
15056BL,EDWARDIAN PARASOL BLACK,31457.55,6709,29.043290043290042,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22386,JUMBO BAG PINK WITH WHITE SPOTS,31149.6,17546,69.07874015748031,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22189,CREAM HEART CARD HOLDER,29911.72,9918,42.935064935064936,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21232,STRAWBERRY CERAMIC TRINKET BOX,29779.86,25398,85.80405405405405,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29493.3,16654,59.906474820143885,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21623,VINTAGE UNION JACK MEMOBOARD,28756.489999999998,3903,24.70253164556962,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21754,HOME BUILDING BLOCK WORD,28206.8,4814,16.374149659863946,A,Y,AY,Medium,0,High-value moderate variability; keep safety stock and review weekly
21137,BLACK RECORD COVER FRAME,28144.89,8223,52.37579617834395,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21212,PACK OF 72 RETRO SPOT CAKE CASES,27672.809999999998,57570,191.9,A,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
21733,RED HANGING HEART T-LIGHT HOLDER,27386.16,9884,36.47232472324723,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,27316.82,5859,22.797665369649806,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
79321,CHILLI LIGHTS,26573.63,6085,33.434065934065934,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21931,JUMBO STORAGE BAG SUKI,26464.85,14723,50.944636678200695,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
82484,WOOD BLACK BOARD ANT WHITE FINISH,26035.079999999998,4972,27.622222222222224,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
48194,DOORMAT HEARTS,25641.37,4285,15.581818181818182,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,25610.4,14172,54.50769230769231,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21929,JUMBO BAG PINK VINTAGE PAISLEY,25453.9,14542,60.09090909090909,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,24985.25,8837,45.08673469387755,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21181,PLEASE ONE PERSON  METAL SIGN,24633.08,12550,59.76190476190476,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21928,JUMBO BAG SCANDINAVIAN PAISLEY,24277.3,13914,55.656,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22111,SCOTTIE DOG HOT WATER BOTTLE,24263.7,5228,24.895238095238096,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22112,CHOCOLATE HOT WATER BOTTLE,23931.600000000002,5166,24.14018691588785,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22083,PAPER CHAIN KIT RETRO SPOT,23881.65,8809,34.011583011583014,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
37503,TEA TIME CAKE STAND IN GIFT BOX,23827.8,2388,13.803468208092486,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22470,HEART OF WICKER LARGE,23636.730000000003,8275,44.729729729729726,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84078A,SET/4 WHITE RETRO STORAGE CUBES ,23252.500000000004,650,6.074766355140187,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
82494L,WOODEN FRAME ANTIQUE WHITE ,23245.750000000004,8425,30.86080586080586,A,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
22090,PAPER BUNTING RETRO SPOTS,23161.300000000003,8454,31.90188679245283,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21731,RED TOADSTOOL LED NIGHT LIGHT,23068.8,14996,62.74476987447699,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20727,LUNCH BAG  BLACK SKULL.,22561.65,14529,50.62369337979094,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21523,FANCY FONT HOME SWEET HOME DOORMAT,22534.65,3581,16.05829596412556,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22197,"POPCORN HOLDER , SMALL ",21875.26,28788,109.87786259541984,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84029E,RED WOOLLY HOTTIE WHITE HEART.,21830.56,6592,33.97938144329897,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
48187,DOOR MAT NEW ENGLAND,21796.5,3484,14.825531914893617,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,21570.75,7861,110.71830985915493,A,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
21524,SPOTTY  HOME SWEET HOME DOORMAT,21569.98,3468,13.236641221374045,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22114,HOT WATER BOTTLE TEA AND SYMPATHY,20854.050000000003,5589,24.194805194805195,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21755,LOVE BUILDING BLOCK WORD,20789.600000000002,3546,12.442105263157895,A,Y,AY,Medium,0,High-value moderate variability; keep safety stock and review weekly
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",20609.65,7627,34.049107142857146,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
82486,WOOD S/3 CABINET ANT WHITE FINISH,20162.9,2702,10.808,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22138,BAKING SET 9 PIECE RETROSPOT ,20147.510000000002,4255,16.884920634920636,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21527,RETRO SPOT TRADITIONAL TEAPOT ,20144.940000000002,2842,11.368,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22188,BLACK HEART CARD HOLDER,20117.64,7538,40.526881720430104,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20679,EDWARDIAN PARASOL RED,20084.8,4504,24.345945945945946,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22383,LUNCHBAG SUKI  DESIGN ,19909.0,12540,48.41698841698842,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20728,LUNCH BAG CARS BLUE,19805.75,12755,45.55357142857143,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21485,RED SPOT HEART HOT WATER BOTTLE,19687.45,4227,20.22488038277512,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,19655.37,5463,23.346153846153847,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,19207.95,4209,19.131818181818183,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",18902.75,6821,31.578703703703702,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
20726,LUNCH BAG WOODLAND,18796.0,12000,42.25352112676056,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
72741,GRAND CHOCOLATECANDLE,18723.9,13926,55.26190476190476,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84946,ANTIQUE SILVER TEA GLASS ETCHED,18555.36,16008,65.87654320987654,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
48185,DOOR MAT FAIRY CAKE,18513.19,3001,11.768627450980393,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21915,RED  HARMONICA IN BOX ,18145.72,16122,98.3048780487805,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,18113.07,4999,19.153256704980844,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,17728.68,4904,18.78927203065134,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
82482,WOODEN PICTURE FRAME WHITE FINISH,17677.95,7643,33.81858407079646,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22178,VICTORIAN GLASS HANGING T-LIGHT,17664.4,15418,59.75968992248062,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
84991,60 TEATIME FAIRY CAKE CASES,17503.2,35806,123.0446735395189,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
79323W, WHITE CHERRY LIGHTS,17384.8,2948,28.346153846153847,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
47590B,PINK HAPPY BIRTHDAY BUNTING,17105.8,3404,15.981220657276996,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
21166,COOK WITH WINE METAL SIGN ,17072.16,9624,44.14678899082569,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
48111,DOOR MAT 3 SMILEY CATS,17013.89,2999,14.349282296650717,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22457,NATURAL SLATE HEART CHALKBOARD ,16958.4,6028,35.88095238095238,A,Y,AY,High,0,High-value moderate variability; keep safety stock and review weekly
21622,VINTAGE UNION JACK CUSHION COVER,16938.17,3199,14.741935483870968,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
22469,HEART OF WICKER SMALL,16792.31,10407,66.28662420382166,A,Z,AZ,Medium,0,High-value unstable demand; monitor closely before bulk reorder
